genre,film,emotion_type,count
Action,Aquaman,Anger,113
Action,Avengers Age of Ultron,Anger,132
Action,Avengers Endgame,Anger,155
Action,Avengers Infinity War,Anger,173
Action,Batman v Superman Dawn of Justice,Anger,157
Action,Black Panther,Anger,127
Action,Captain America Civil War,Anger,150
Action,Captain Marvel,Anger,111
Action,Deadpool,Anger,153
Action,Deadpool 2,Anger,190
Action,Doctor Strange,Anger,112
Action,Furious Seven,Anger,128
Action,Guardians of the Galaxy Vol 2,Anger,162
Action,Jurassic World,Anger,70
Action,Jurassic World Fallen Kingdom,Anger,68
Action,Spider-Man Far from Home,Anger,151
Action,Spider-Man Homecoming,Anger,162
Action,Suicide Squad,Anger,186
Action,Thor Ragnarok,Anger,176
Action,Wonder Woman,Anger,115
Drama,A Star is Born,Anger,98
Drama,Arrival,Anger,62
Drama,Bohemian Rhapsody,Anger,137
Drama,Cinderella,Anger,52
Drama,Creed,Anger,217
Drama,Creed II,Anger,169
Drama,Downton Abbey,Anger,99
Drama,Fifty Shades Darker,Anger,49
Drama,Fifty Shades Freed,Anger,102
Drama,Fifty Shades of Grey,Anger,48
Drama,Ford v Ferrari,Anger,167
Drama,Hidden Figures,Anger,96
Drama,Hustlers,Anger,140
Drama,Knives Out,Anger,246
Drama,Little Women,Anger,119
Drama,Murder On The Orient Express,Anger,160
Drama,Straight Outta Compton,Anger,512
Drama,Sully,Anger,83
Drama,The Mule,Anger,104
Drama,Wonder,Anger,57
Horror,A Quiet Place,Anger,3
Horror,Alien Covenant,Anger,79
Horror,Annabelle 2 Creation,Anger,33
Horror,Annabelle Comes Home,Anger,51
Horror,Dont Breathe,Anger,55
Horror,Escape Room,Anger,159
Horror,Get Out,Anger,97
Horror,Goosebumps,Anger,84
Horror,Halloween,Anger,106
Horror,Insidious the Last Key,Anger,43
Horror,It,Anger,161
Horror,It Chapter Two,Anger,148
Horror,Lights Out,Anger,39
Horror,Scary Stories to Tell in the Dark,Anger,87
Horror,Split,Anger,94
Horror,The Conjuring 2,Anger,92
Horror,The First Purge,Anger,191
Horror,The Nun,Anger,68
Horror,The Purge Election Year,Anger,134
Horror,The Visit,Anger,92
Action,Aquaman,Anger negated,9
Action,Avengers Age of Ultron,Anger negated,15
Action,Avengers Endgame,Anger negated,19
Action,Avengers Infinity War,Anger negated,13
Action,Batman v Superman Dawn of Justice,Anger negated,19
Action,Black Panther,Anger negated,14
Action,Captain America Civil War,Anger negated,15
Action,Captain Marvel,Anger negated,15
Action,Deadpool,Anger negated,16
Action,Deadpool 2,Anger negated,22
Action,Doctor Strange,Anger negated,13
Action,Furious Seven,Anger negated,14
Action,Guardians of the Galaxy Vol 2,Anger negated,13
Action,Jurassic World,Anger negated,7
Action,Jurassic World Fallen Kingdom,Anger negated,10
Action,Spider-Man Far from Home,Anger negated,10
Action,Spider-Man Homecoming,Anger negated,10
Action,Suicide Squad,Anger negated,23
Action,Thor Ragnarok,Anger negated,27
Action,Wonder Woman,Anger negated,33
Drama,A Star is Born,Anger negated,23
Drama,Arrival,Anger negated,5
Drama,Bohemian Rhapsody,Anger negated,15
Drama,Cinderella,Anger negated,10
Drama,Creed,Anger negated,29
Drama,Creed II,Anger negated,17
Drama,Downton Abbey,Anger negated,27
Drama,Fifty Shades Darker,Anger negated,8
Drama,Fifty Shades Freed,Anger negated,4
Drama,Fifty Shades of Grey,Anger negated,6
Drama,Ford v Ferrari,Anger negated,16
Drama,Hidden Figures,Anger negated,16
Drama,Hustlers,Anger negated,21
Drama,Knives Out,Anger negated,33
Drama,Little Women,Anger negated,25
Drama,Murder On The Orient Express,Anger negated,26
Drama,Straight Outta Compton,Anger negated,74
Drama,Sully,Anger negated,2
Drama,The Mule,Anger negated,27
Drama,Wonder,Anger negated,7
Horror,A Quiet Place,Anger negated,0
Horror,Alien Covenant,Anger negated,12
Horror,Annabelle 2 Creation,Anger negated,2
Horror,Annabelle Comes Home,Anger negated,14
Horror,Dont Breathe,Anger negated,10
Horror,Escape Room,Anger negated,9
Horror,Get Out,Anger negated,17
Horror,Goosebumps,Anger negated,9
Horror,Halloween,Anger negated,11
Horror,Insidious the Last Key,Anger negated,11
Horror,It,Anger negated,16
Horror,It Chapter Two,Anger negated,13
Horror,Lights Out,Anger negated,7
Horror,Scary Stories to Tell in the Dark,Anger negated,11
Horror,Split,Anger negated,17
Horror,The Conjuring 2,Anger negated,13
Horror,The First Purge,Anger negated,16
Horror,The Nun,Anger negated,9
Horror,The Purge Election Year,Anger negated,13
Horror,The Visit,Anger negated,13
Action,Aquaman,Anticipation,144
Action,Avengers Age of Ultron,Anticipation,225
Action,Avengers Endgame,Anticipation,309
Action,Avengers Infinity War,Anticipation,245
Action,Batman v Superman Dawn of Justice,Anticipation,200
Action,Black Panther,Anticipation,147
Action,Captain America Civil War,Anticipation,218
Action,Captain Marvel,Anticipation,126
Action,Deadpool,Anticipation,230
Action,Deadpool 2,Anticipation,278
Action,Doctor Strange,Anticipation,160
Action,Furious Seven,Anticipation,195
Action,Guardians of the Galaxy Vol 2,Anticipation,171
Action,Jurassic World,Anticipation,172
Action,Jurassic World Fallen Kingdom,Anticipation,161
Action,Spider-Man Far from Home,Anticipation,295
Action,Spider-Man Homecoming,Anticipation,290
Action,Suicide Squad,Anticipation,161
Action,Thor Ragnarok,Anticipation,252
Action,Wonder Woman,Anticipation,212
Drama,A Star is Born,Anticipation,303
Drama,Arrival,Anticipation,123
Drama,Bohemian Rhapsody,Anticipation,258
Drama,Cinderella,Anticipation,204
Drama,Creed,Anticipation,329
Drama,Creed II,Anticipation,151
Drama,Downton Abbey,Anticipation,296
Drama,Fifty Shades Darker,Anticipation,210
Drama,Fifty Shades Freed,Anticipation,159
Drama,Fifty Shades of Grey,Anticipation,172
Drama,Ford v Ferrari,Anticipation,277
Drama,Hidden Figures,Anticipation,291
Drama,Hustlers,Anticipation,282
Drama,Knives Out,Anticipation,310
Drama,Little Women,Anticipation,322
Drama,Murder On The Orient Express,Anticipation,216
Drama,Straight Outta Compton,Anticipation,381
Drama,Sully,Anticipation,187
Drama,The Mule,Anticipation,216
Drama,Wonder,Anticipation,216
Horror,A Quiet Place,Anticipation,10
Horror,Alien Covenant,Anticipation,172
Horror,Annabelle 2 Creation,Anticipation,96
Horror,Annabelle Comes Home,Anticipation,131
Horror,Dont Breathe,Anticipation,64
Horror,Escape Room,Anticipation,224
Horror,Get Out,Anticipation,152
Horror,Goosebumps,Anticipation,198
Horror,Halloween,Anticipation,201
Horror,Insidious the Last Key,Anticipation,89
Horror,It,Anticipation,151
Horror,It Chapter Two,Anticipation,252
Horror,Lights Out,Anticipation,74
Horror,Scary Stories to Tell in the Dark,Anticipation,101
Horror,Split,Anticipation,133
Horror,The Conjuring 2,Anticipation,148
Horror,The First Purge,Anticipation,161
Horror,The Nun,Anticipation,138
Horror,The Purge Election Year,Anticipation,159
Horror,The Visit,Anticipation,160
Action,Aquaman,Anticipation negated,16
Action,Avengers Age of Ultron,Anticipation negated,35
Action,Avengers Endgame,Anticipation negated,33
Action,Avengers Infinity War,Anticipation negated,26
Action,Batman v Superman Dawn of Justice,Anticipation negated,20
Action,Black Panther,Anticipation negated,26
Action,Captain America Civil War,Anticipation negated,24
Action,Captain Marvel,Anticipation negated,14
Action,Deadpool,Anticipation negated,17
Action,Deadpool 2,Anticipation negated,25
Action,Doctor Strange,Anticipation negated,22
Action,Furious Seven,Anticipation negated,19
Action,Guardians of the Galaxy Vol 2,Anticipation negated,16
Action,Jurassic World,Anticipation negated,18
Action,Jurassic World Fallen Kingdom,Anticipation negated,10
Action,Spider-Man Far from Home,Anticipation negated,30
