The Ring (1927),The Farmers Wife (1928),Champagne (1928),The Manxman (1929),Blackmail (1929),Murder (1930),The Skin Game (1931),Rich and Strange (1931),Number Seventeen (1932)
4.04,5.79,19.21,7.8,6.88,6,19.38,36.9,43.8
8.46,17.13,16.96,25.1,4.67,2.9,5.71,9.3,3.3
5.58,8.67,3.42,7.5,2.96,2.3,105.17,3.8,77.7
6,5.08,14.71,3.1,1.75,1.4,1.4,4.4,7.5
1.71,4.5,2.67,3.2,2.67,36,3,2.5,4.5
5.04,11.08,2.79,2.2,6.21,4.5,9.3,2.3,3.4
5.13,2.75,1.58,2,7.25,6.4,2.8,2,4
1.83,9.25,3.75,8.4,5,3.1,5,3.4,2.4
2.67,1.96,2.21,7.6,2.71,19.6,2.9,7,8.5
2.58,3.54,5.88,8.2,1.96,1.8,1.1,3.4,1.4
2.58,4.21,2.96,15.8,4.29,1.7,2.3,5,1
2.88,2.17,1.92,2.1,13.92,22.3,2.8,4.1,1
0.38,1.33,6.88,8.6,2.25,1.9,2.7,7.9,8.2
1.29,1.5,2.54,11.7,1.71,7,2.6,1.9,1.5
2.21,1.67,2.75,17.2,2.88,2.1,1.2,7,2.4
3.54,1.04,3.5,11,4.63,2.6,1.4,2.1,3.5
8,1.46,2.29,5.4,4.33,2.1,1.3,1.3,31.7
1.13,6.08,2.04,4.8,2.04,10.9,1.2,1.1,0.7
1.25,8.71,6.08,15.6,6.54,4.9,1.3,1.6,0.8
3.08,12.54,3.54,3.4,8.25,3.8,1,1,0.5
1.38,6.21,2.42,4.9,15.13,7.4,5.9,2.2,0.5
8.13,6.46,3.67,3.7,12.21,26.4,1.7,1.1,1.1
4.67,1.92,0.96,5.2,4.83,4.9,1.8,6.6,45.6
2.04,0.25,1.63,2.8,2.92,0.8,0.9,3,1.5
2.25,4.75,1.96,0.9,1.17,5.3,1.5,11.8,41.4
2.67,2.04,1.83,3.2,12.04,2,5,6.9,20.3
4.25,1.75,2.25,2.7,8.96,16.3,95.6,9.1,3.5
1.46,3.5,1,6.2,1.96,1.6,0.8,2.5,1.5
1.88,1.38,1.88,4.5,3.13,10.5,5.1,3,1.7
1.46,5.58,2.13,2.9,3.25,24.8,44.4,4.7,19.4
2.21,4.04,3.04,4.3,1.67,16,3.1,4.6,2.1
4.13,4.13,2.88,6.7,2.5,18.5,2.6,4.2,1.2
6.42,4.54,8.17,3.8,2.96,1.4,3.9,8.8,45.5
5.5,3.54,0.92,1.5,3.13,2.4,15.5,10.1,3.6
3.21,3.04,4.67,2.5,4.04,3,36.9,9,5.8
1.96,2.29,2.13,3,14.58,108,16.5,13.2,1.8
1.29,2.25,9,2.7,21.17,14,21.2,6.4,2.2
3.04,4.54,2.79,8.5,2.71,5.8,96.5,9.4,62.8
1.46,19.17,1.54,1.8,10,4.4,7,16.3,2.2
4.13,7.5,4.5,2.8,3.79,3.9,9.8,4.6,12.6
4.08,6.88,1.38,5.2,13.46,29,31.7,1.1,8.7
6.29,5.5,1.42,2.9,4.38,3.5,281,3.6,17.6
4.17,7.21,16.04,5.6,6.67,8.6,2,2,6.4
3.04,7.96,2.08,1.3,13.71,27.5,5.3,3,18.2
1.88,10.67,7.25,2.8,6.5,2.3,34.2,2.3,24.8
3.13,9.96,5.08,3.6,10.54,1.9,1.4,16.8,1.3
3,4.75,1.75,1.8,27.54,53.7,10.2,4.1,28.5
3,3,11.21,1.5,10.67,11.9,1,1.6,35.8
2.04,6.21,4.42,2,11.79,8,6,1.7,1.5
4.88,7.54,3.96,1.7,5.13,2,80.2,1.5,8.1
14.5,7.92,3.54,3.3,12.75,35.5,13.7,3.9,7.2
10.92,1.58,4.92,3.7,2.92,28,4,0.8,11.4
3.46,2.17,18.71,2,16.79,1.8,16.9,14.3,48.9
5,5.63,15.54,2.8,1.29,8,10.3,19.1,0.9
6.33,2.29,5.96,4.9,1.58,61.3,4.2,16.3,11.5
3.38,2.17,5.21,8.5,2.33,1,31.8,4.7,17.5
2.46,2.71,4.5,2.6,1.75,56,142,1.6,36.7
4.17,5.13,2.58,7,1.67,6.7,27.6,12.7,32.9
3.54,8.42,1.83,21.4,3.42,7.9,2.4,18.2,1.3
4.5,1.79,9.25,4.8,2.88,5.7,6.4,2.1,4
11.04,9.17,2.04,11.3,3.46,5.2,40.2,2.8,1.1
2.83,4.42,12.54,5.8,10.96,7.8,23.5,7.4,8.7
5.58,2.83,1.58,9.4,8.58,3.5,1,6.8,4.8
5.63,16.5,3.13,2.3,4.96,1.5,13.4,6.2,1.9
2.38,0.71,1.63,1.9,7.92,1.4,7.6,4.2,0.6
3.58,4.46,1.67,2.9,14.25,1,0.9,1.8,42.4
1.83,1.46,1.75,5.3,4.5,1.2,1.8,10.6,1.2
5.96,2.42,1.58,1.9,16.42,0.9,1.1,5.4,1
3.08,25.13,5.13,2.1,6.46,0.9,4.9,7.8,0.9
1.54,4.67,1.75,7.2,11.46,0.9,1.2,12,56
2.71,3.17,3.83,6,2.25,0.8,1.3,4.2,4.4
5.92,7.17,2.71,2.8,7.04,0.8,5.9,7.9,7.5
5.33,7,2.5,3,1.17,0.8,2.9,8.7,2.5
1.58,2.13,17.08,4.5,17.54,0.8,8.3,3,4.5
3.88,26.54,3.79,3.3,22.21,0.8,91,5.9,2.7
2.17,7,1.54,9.8,31.5,1.2,5.5,3.6,3
3.25,9.42,4.67,2.9,5.25,2.1,52,1.7,1.2
1.92,7.54,6.92,2,19,20.4,1.7,1.9,34.3
9.88,2.04,2.46,3.7,6.79,2,3.8,2.7,1
3.67,3.13,2.88,1.2,4.21,18.8,3,3.5,22.4
2.67,3.29,1.25,1.5,16.71,1,8.3,2.2,11.5
0.96,7,1,10.6,6.63,12.3,2.7,20.8,5.2
3.5,2.54,2.25,2.2,4.96,2.2,3.3,8.2,2.3
1.29,4.79,1.29,8,12.75,21.8,4,4.7,37.5
1.63,6.38,2.96,1.2,7.83,2.3,22.9,2.8,4.5
5.58,2.21,2,2.7,5.92,31.6,1.9,1.1,16.4
6.88,3.63,2.25,5.5,3.17,18.4,24,0.9,19.7
4.67,19.29,2.21,9.2,1.42,8.2,3.5,0.7,0.8
4.38,8.33,1.5,4.9,2.92,7.3,3.7,0.9,0.9
