frame,frame_id,time,L,A,B,C,H,S,r,g,b,M3,cluster
1,image_000001,0.5,21.58771364,28.10084428,-22.04936256,35.71878111,321.8804475,85.58347384,76.14906385,35.09731667,84.73027438,57.69918343,Cluster  1
2,image_000002,1,21.63568999,28.1460637,-22.09936421,35.78522439,321.8621575,85.57519512,76.28850974,35.17003396,84.92052289,57.66142075,Cluster  1
3,image_000003,1.5,21.66039174,28.19271218,-22.18806305,35.87671454,321.7967499,85.60752054,76.3425096,35.19461384,85.11252328,57.64863766,Cluster  1
4,image_000004,2,21.70685351,28.24174222,-22.24568907,35.9508855,321.7729062,85.60574898,76.47748882,35.26141266,85.31069075,57.62127417,Cluster  1
5,image_000005,2.5,21.731525,28.30150683,-22.33520862,36.05324277,321.7199188,85.64475348,76.54883895,35.27331722,85.50424887,57.59696614,Cluster  1
6,image_000006,3,21.76609908,28.32368617,-22.36694194,36.09031409,321.7021854,85.63192221,76.63836834,35.33520058,85.63493967,57.57635966,Cluster  1
7,image_000007,3.5,21.73436827,28.32237685,-22.34059525,36.07296365,321.7337383,85.6542463,76.5803921,35.26031898,85.51952148,57.66206185,Cluster  1
8,image_000008,4,32.53428782,32.94631736,-14.65471634,36.0585588,336.0202173,74.24582526,115.4040741,54.95409057,100.1667635,63.62296075,Cluster  2
9,image_000009,4.5,32.74099684,32.9139343,-14.44613748,35.94463912,336.3030185,73.92839882,116.0259424,55.45665085,100.3489822,63.74092875,Cluster  2
10,image_000010,5,33.24472724,32.90432783,-13.89268118,35.71694968,337.1098266,73.19857739,117.6624842,56.6099029,100.7240075,64.36879415,Cluster  2
11,image_000011,5.5,34.20155152,32.78595743,-13.19128424,35.34017673,338.0828289,71.85880897,120.4251135,58.9445096,101.977139,64.86734232,Cluster  2
12,image_000012,6,35.83296657,32.53194371,-12.20202688,34.74501288,339.4400194,69.61240628,124.951603,63.00901228,104.4369879,65.49666804,Cluster  2
13,image_000013,6.5,36.31664352,32.4289128,-11.98178734,34.57161714,339.7218095,68.94913316,126.2151576,64.25031881,105.2813871,65.58352417,Cluster  2
14,image_000014,7,37.41627163,32.06652418,-11.36072588,34.01951158,340.4914673,67.27238616,128.9868858,67.17901384,107.0095086,65.96236917,Cluster  2
15,image_000015,7.5,37.6153347,31.98756807,-10.92666824,33.80230306,341.1402896,66.8401909,129.6600711,67.68669715,106.8121983,66.20631983,Cluster  2
16,image_000016,8,37.66961363,31.82357027,-10.4960644,33.5097911,341.7463873,66.46484105,129.8291075,67.92111756,106.2589254,66.33636409,Cluster  2
17,image_000017,8.5,37.66159193,31.88470239,-10.48654087,33.56487584,341.794512,66.53366435,129.8976584,67.84518615,106.2258479,66.46737844,Cluster  2
18,image_000018,9,37.83889278,31.83807074,-10.31894749,33.46853044,342.0421179,66.25257012,130.400231,68.29979447,106.3972484,66.5883716,Cluster  2
19,image_000019,9.5,37.79906826,31.87602578,-10.49008656,33.55774187,341.7841329,66.39058166,130.2476633,68.18696937,106.5713224,66.4085411,Cluster  2
20,image_000020,10,38.00166788,31.83814145,-10.50958197,33.52786405,341.732249,66.15881127,130.7206785,68.71507216,107.1026985,66.49408592,Cluster  2
21,image_000021,10.5,38.047505,31.82654627,-10.48237536,33.50833247,341.7702102,66.09227038,130.8419794,68.83394087,107.1726838,66.47159897,Cluster  2
22,image_000022,11,38.10948985,31.54014833,-10.40347021,33.21162845,341.7449387,65.69999584,130.6561335,69.23393825,107.1921851,65.94649342,Cluster  2
23,image_000023,11.5,38.30028449,31.34028066,-10.40925059,33.02370078,341.6267901,65.30100864,130.8808847,69.87627644,107.6680905,65.43272102,Cluster  2
24,image_000024,12,38.30434958,31.25129356,-10.4638448,32.95655511,341.4879507,65.22077597,130.7360025,69.9711754,107.7622729,64.87769111,Cluster  2
25,image_000025,12.5,38.46333141,31.13148503,-10.41401706,32.82712664,341.5040253,64.9177419,131.0195621,70.45802376,108.0736532,64.0537064,Cluster  2
26,image_000026,13,38.59501829,31.1718472,-10.36490739,32.84987811,341.6075896,64.81535508,131.4532869,70.73662665,108.3234429,64.19107752,Cluster  2
27,image_000027,13.5,38.63166245,31.18553092,-10.34173748,32.8555627,341.6534601,64.78618634,131.5830261,70.81101564,108.377906,64.24982752,Cluster  2
28,image_000028,14,38.65103448,31.2047844,-10.31641109,32.86587947,341.7059329,64.77914206,131.6760415,70.83831973,108.3862389,64.30728048,Cluster  2
29,image_000029,14.5,38.67741312,31.2146015,-10.28948024,32.86675944,341.7558799,64.75449697,131.7754296,70.89084183,108.4091161,64.36313143,Cluster  2
30,image_000030,15,38.69664502,31.21474762,-10.25876672,32.85729583,341.8068249,64.72497283,131.8446481,70.93420192,108.4079335,64.39332807,Cluster  2
31,image_000031,15.5,38.73406187,31.22036653,-10.21616645,32.84936023,341.8804737,64.67953317,131.9766502,71.01563491,108.4331123,64.45634158,Cluster  2
32,image_000032,16,38.74777637,31.21760005,-10.18644228,32.83749813,341.9282641,64.65262489,132.0266006,71.04829594,108.4197146,64.49959067,Cluster  2
33,image_000033,16.5,38.77075654,31.25138082,-10.16036664,32.86154251,341.9897563,64.65785737,132.1498073,71.07142652,108.4362402,64.59470803,Cluster  2
34,image_000034,17,38.77233116,31.2512264,-10.14590271,32.85692645,342.0136593,64.65104329,132.1622466,71.07388091,108.4171004,64.5899104,Cluster  2
